arxiv_id,title,authors,published,iaifi_theme
2305.19525,Discovering New Interpretable Conservation Laws as Sparse Invariants,Ziming Liu; Patrick Obin Sturm; Saketh Bharadwaj; Sam Silva; Max Tegmark,2023-05-01,AI
2305.18552,Learning Linear Groups in Neural Networks,Emmanouil Theodosis; Karim Helwani; Demba Ba,2023-05-01,AI
2305.13780,Machine Learning for Quantum-Enhanced Gravitational-Wave Observatories,Chris Whittle; Ge Yang; Matthew Evans; Lisa Barsotti,2023-05-01,AI
2305.13291,Materialistic: Selecting Similar Materials in Images,Prafull Sharma; Julien Philip; Michael Gharbi; Bill Freeman; Fredo Durand; Valentin Deschaintre,2023-05-01,AI
2305.02299,Dynamic Sparse Training with Structured Sparsity,Mike Lasby; Anna Golubeva; Utku Evci; Mihai Nica; Yani Ioannou,2023-05-01,AI
2305.08746,Seeing is Believing: Brain-Inspired Modular Training for Mechanistic Interpretability,Ziming Liu; Eric Gan; Max Tegmark,2023-05-01,AI
2304.02637,GenPhys: From Physical Processes to Generative Models,Ziming Liu; Di Luo; Yilun Xu; Tommi Jaakkola; Max Tegmark,2023-04-01,AI
2304.01159,DribbleBot: Dynamic Legged Manipulation in the Wild,Yandong Ji; Gabriel B. Margolis; Pulkit Agrawal,2023-04-01,AI
2304.01201,Neural Volumetric Memory for Visual Locomotion Control,Ruihan Yang; Ge Yang; Xiaolong Wang,2023-04-01,AI
2303.14448,Noisy dynamical systems evolve error correcting codes and modularity,Trevor McCourt; Ila R. Fiete; Isaac L. Chuang,2023-03-01,AI
2303.13506,The Quantization Model of Neural Scaling,Eric J. Michaud; Ziming Liu; Uzay Girit; Max Tegmark,2023-03-01,AI
2303.02484,Multi-Symmetry Ensembles: Improving Diversity and Generalization via Opposing Symmetries,Charlotte Loh; Seungwook Han; Shivchander Sudalairaj; Rumen Dangovski; Kai Xu; Florian Wenzel; Marin Soljacic; Akash Srivastava,2023-03-01,AI
2302.04265,PFGM++: Unlocking the Potential of Physics-Inspired Generative Models,Yilun Xu; Ziming Liu; Yonglong Tian; Shangyuan Tong; Max Tegmark; Tommi Jaakkola,2023-02-01,AI
2212.03238,Walk These Ways: Tuning Robot Control for Generalization with Multiplicity of Behavior,Gabriel B Margolis; Pulkit Agrawal,2022-12-01,AI
2211.15338,Learning Integrable Dynamics with Action-Angle Networks,Ameya Daigavane; Arthur Kosmala; Miles Cranmer; Tess Smidt; Shirley Ho,2022-11-01,AI
2211.11744,Visual Dexterity: In-Hand Reorientation of Novel and Complex Object Shapes,Tao Chen; Megha Tippur; Siyang Wu; Vikash Kumar; Edward Adelson; Pulkit Agrawal,2022-11-01,AI
2210.16859,A Solvable Model of Neural Scaling Laws,Alexander Maloney; Daniel A. Roberts; James Sully,2022-10-01,AI
2210.13447,Precision Machine Learning,Eric J. Michaud; Ziming Liu; Max Tegmark,2022-10-01,AI
2210.01117,Omnigrok: Grokking Beyond Algorithmic Data,Ziming Liu; Eric J. Michaud; Max Tegmark,2022-10-01,AI
2210.00563,AI-Assisted Discovery of Quantitative and Formal Models in Social Science,Julia Balla; Sihao Huang; Owen Dugan; Rumen Dangovski; Marin Soljacic,2022-10-01,AI
2209.11178,Poisson Flow Generative Models,Yilun Xu; Ziming Liu; Max Tegmark; Tommi Jaakkola,2022-09-01,AI
2207.09408,Bounding generalization error with input compression: An empirical study with infinite-width networks,Angus Galloway; Anna Golubeva; Mahmoud Salem; Mihai Nica; Yani Ioannou; Graham W. Taylor,2022-07-01,AI
